Temp,P,Core,Mflow,Pressurizer,L_Mf
455.52,1058810.0,0.6223,-48.938,4.8337,19.153
454.28,1029320.0,0.6584,50.71,4.8754,-60.098
453.0,999497.0,0.6277,100.46,4.7672,3.7732
451.61,967725.0,0.5916,64.015,4.7309,-35.075
450.25,937580.0,0.5919,65.819,4.6798,-19.438
448.89,908229.0,0.5497,-158.17,4.6261,-32.491
447.59,880814.0,0.5631,-0.5325,4.5522,-32.034
446.58,859941.0,0.3458,773.83,4.5009,13.35
445.11,830421.0,0.4744,234.5,4.6528,33.878
443.98,808222.0,0.3986,373.12,4.6714,-15.148
442.57,781025.0,0.498,-160.37,4.4968,-94.161
441.33,757818.0,0.4973,20.941,4.3049,-56.346
440.06,734623.0,0.4969,-96.478,4.2161,-8.3467
438.81,712418.0,0.4951,24.878,4.2041,-21.818
437.58,690935.0,0.4651,-33.039,4.1342,-35.61
436.41,671176.0,0.4494,-122.06,4.0715,-21.561
435.25,651794.0,0.4522,11.246,4.0185,-30.291
434.12,633553.0,0.4338,140.6,3.9478,-32.823
433.01,615911.0,0.4154,29.884,3.8931,-16.048
431.89,598516.0,0.4278,-131.07,3.8673,-8.9034
430.81,582180.0,0.4411,28.607,3.8519,-0.2892
429.85,567891.0,0.379,93.423,3.867,6.7251
428.94,554648.0,0.3669,90.618,3.8735,-11.218
428.0,541253.0,0.3427,-143.82,3.8405,-15.497
427.06,528125.0,0.3631,186.79,3.7997,-19.006
426.11,514984.0,0.3996,-135.73,3.7492,-32.313
425.24,503393.0,0.3138,96.331,3.6913,-42.529
424.35,491579.0,0.3035,303.48,3.5931,-28.992
423.39,479160.0,0.3562,55.935,3.5685,-19.79
422.59,468888.0,0.3345,-105.62,3.4961,-35.551
421.64,457028.0,0.3699,-212.28,3.4596,-11.029
420.79,446674.0,0.3535,-295.3,3.4066,-27.958
419.89,435817.0,0.3392,49.806,3.3594,-17.475
419.02,425577.0,0.3675,-142.59,3.3093,-26.868
418.2,416139.0,0.387,-308.32,3.2654,-26.55
