Temp,P,Core,Mflow,Pressurizer,L_Mf
554.5300 ,6571720.0000 ,2.4046 ,4697.4000 ,7.3260 ,9.0215 
554.2200 ,6541250.0000 ,2.4130 ,4601.3000 ,7.3270 ,8.5546 
553.9500 ,6513450.0000 ,2.4281 ,4496.8000 ,7.3270 ,8.0518 
553.6800 ,6487600.0000 ,2.4473 ,4381.2000 ,7.3270 ,7.2470 
553.4500 ,6464030.0000 ,2.4638 ,4247.7000 ,7.3280 ,7.1970 
553.2400 ,6443290.0000 ,2.4743 ,4084.3000 ,7.3280 ,7.3411 
553.0400 ,6424310.0000 ,2.4754 ,3912.3000 ,7.3280 ,7.4246 
552.8800 ,6407780.0000 ,2.4714 ,3750.9000 ,7.3290 ,8.0384 
552.7200 ,6392010.0000 ,2.4652 ,3614.6000 ,7.3310 ,8.6471 
552.5700 ,6377430.0000 ,2.4552 ,3494.2000 ,7.3340 ,9.9796 
552.4400 ,6364880.0000 ,2.4455 ,3362.0000 ,7.3400 ,11.8320 
552.3200 ,6353190.0000 ,2.4341 ,3235.4000 ,7.3470 ,13.8970 
552.2200 ,6342500.0000 ,2.4217 ,3120.3000 ,7.3560 ,15.5430 
552.1100 ,6332410.0000 ,2.4093 ,3013.9000 ,7.3670 ,16.0960 
552.0200 ,6323010.0000 ,2.4008 ,2928.1000 ,7.3780 ,16.0700 
551.9300 ,6314770.0000 ,2.3960 ,2838.3000 ,7.3910 ,16.3520 
551.8500 ,6306430.0000 ,2.3903 ,2752.3000 ,7.4030 ,15.7620 
551.7700 ,6299050.0000 ,2.3858 ,2673.7000 ,7.4150 ,15.3270 
551.7000 ,6291900.0000 ,2.3824 ,2595.9000 ,7.4270 ,14.8530 
551.6300 ,6285280.0000 ,2.3790 ,2516.1000 ,7.4390 ,14.3860 
551.5700 ,6279100.0000 ,2.3748 ,2431.7000 ,7.4500 ,13.9600 
551.5100 ,6273220.0000 ,2.3705 ,2357.8000 ,7.4620 ,13.4940 
551.4500 ,6267690.0000 ,2.3687 ,2292.8000 ,7.4730 ,12.9510 
551.4000 ,6262620.0000 ,2.3779 ,2251.9000 ,7.4830 ,12.4570 
551.3500 ,6257800.0000 ,2.3890 ,2168.2000 ,7.4930 ,11.9030 
551.3000 ,6253210.0000 ,2.3947 ,2097.5000 ,7.5030 ,11.2850 
551.2600 ,6249040.0000 ,2.3980 ,2028.1000 ,7.5130 ,10.7160 
551.2200 ,6245230.0000 ,2.4000 ,1958.2000 ,7.5210 ,10.2050 
551.1800 ,6241610.0000 ,2.3999 ,1884.9000 ,7.5300 ,9.7156 
551.1500 ,6238130.0000 ,2.3980 ,1802.0000 ,7.5380 ,9.2428 
551.1100 ,6234710.0000 ,2.3947 ,1729.4000 ,7.5460 ,8.7315 
551.0800 ,6231380.0000 ,2.3910 ,1653.8000 ,7.5530 ,8.1889 
551.0500 ,6228170.0000 ,2.3873 ,1574.7000 ,7.5600 ,7.6084 
551.0200 ,6225340.0000 ,2.3844 ,1523.5000 ,7.5670 ,7.0257 
550.9800 ,6221910.0000 ,2.3854 ,1468.6000 ,7.5720 ,-1.2057 
550.9500 ,6218790.0000 ,2.3829 ,1435.2000 ,7.5630 ,-20.2030 
550.9200 ,6215890.0000 ,2.3878 ,1385.9000 ,7.5530 ,-12.2480 
550.8900 ,6212410.0000 ,2.3753 ,1193.7000 ,7.5480 ,-7.6205 
550.8500 ,6208380.0000 ,2.3275 ,938.4100 ,7.5430 ,-5.1422 
550.8400 ,6206980.0000 ,2.2890 ,815.8400 ,7.5410 ,-3.2244 
550.8200 ,6206200.0000 ,2.2761 ,1308.5000 ,7.5390 ,-3.1059 
550.7700 ,6200700.0000 ,2.3690 ,1073.7000 ,7.5370 ,-4.0531 
550.7700 ,6200310.0000 ,2.3638 ,747.7900 ,7.5350 ,-3.9022 
550.7600 ,6198610.0000 ,2.3165 ,528.6000 ,7.5320 ,-4.3149 
550.7500 ,6197920.0000 ,2.2572 ,348.2600 ,7.5290 ,-4.5866 
550.7400 ,6196570.0000 ,2.2026 ,243.2100 ,7.5260 ,-5.2950 
550.7300 ,6194850.0000 ,2.1654 ,187.7900 ,7.5230 ,-5.7558 
550.7000 ,6191810.0000 ,2.1236 ,49.6790 ,7.5190 ,-6.9807 
550.6900 ,6191370.0000 ,2.0785 ,70.8460 ,7.5150 ,-6.4367 
550.6900 ,6191150.0000 ,2.0797 ,286.7700 ,7.5100 ,-6.3603 
550.6700 ,6190030.0000 ,2.1559 ,577.3700 ,7.5060 ,-6.8580 
550.6000 ,6183510.0000 ,2.2632 ,511.7000 ,7.5010 ,-9.0654 
550.4900 ,6172280.0000 ,2.2699 ,149.2800 ,7.4940 ,-10.9270 
550.3700 ,6160940.0000 ,2.1710 ,-96.8480 ,7.4850 ,-12.2650 
550.3200 ,6155750.0000 ,2.0430 ,-273.5900 ,7.4750 ,-11.5730 
550.2800 ,6150980.0000 ,1.9258 ,-283.3900 ,7.4660 ,-10.4340 
